subj,task,attach_site,itemN,rt
21,window,high,4,2469.7
21,window,high,5,447
21,window,high,6,633.8
21,window,high,7,329.9
21,window,high,8,242.8
21,window,high,9,195.4
21,window,high,10,248.5
21,window,high,11,793.6
21,window,high,12,720.6
22,window,low,13,282.6
22,window,low,14,349.9
22,window,low,15,562.2
22,window,low,16,898.8
22,window,low,17,256.3
22,window,low,18,739.1
22,window,low,19,898.8
22,window,low,20,199.8
22,window,low,21,247
22,window,low,22,290.4
22,window,low,23,280
22,window,low,24,236.5
22,window,high,1,229.7
22,window,high,2,284.5
22,window,high,3,379.6
22,window,high,4,345.7
22,window,high,5,579.6
22,window,high,6,279.8
22,window,high,7,394.4
22,window,high,8,230.9
22,window,high,9,219.8
22,window,high,10,353.8
22,window,high,11,460.6
22,window,high,12,202.9
23,window,low,13,289.6
23,window,low,14,462.7
23,window,low,15,292.8
23,window,low,16,188.2
23,window,low,17,425.1
23,window,low,18,314.9
23,window,low,19,303
23,window,low,20,389.4
23,window,low,21,368.2
23,window,low,22,294.1
23,window,low,23,265.1
23,window,low,24,578.1
23,window,high,1,433.9
23,window,high,2,551.6
23,window,high,3,541.1
23,window,high,4,381
23,window,high,5,359.6
23,window,high,6,349.5
23,window,high,7,638.3
23,window,high,8,358.3
23,window,high,9,472.3
23,window,high,10,384.8
23,window,high,11,148.4
23,window,high,12,255.9
24,window,low,13,829
24,window,low,14,609.5
24,window,low,15,957.5
24,window,low,16,273.2
24,window,low,17,453.1
24,window,low,18,1195
24,window,low,19,435.4
24,window,low,20,399.6
24,window,low,21,1148.2
24,window,low,22,562.2
24,window,low,23,1122.6
24,window,low,24,437.4
24,window,high,1,540.1
24,window,high,2,315.6
24,window,high,3,556.7
24,window,high,4,429.9
24,window,high,5,570.7
24,window,high,6,913.3
24,window,high,7,539.9
24,window,high,8,796.7
24,window,high,9,404.4
24,window,high,10,393.6
24,window,high,11,487.2
24,window,high,12,379.2
25,window,low,13,687
25,window,low,14,241
25,window,low,15,260.5
25,window,low,16,309.5
25,window,low,17,230
25,window,low,18,274.7
25,window,low,19,429.5
25,window,low,20,319.9
25,window,low,21,135
25,window,low,22,379.6
25,window,low,23,290
25,window,low,24,282.5
25,window,high,1,253.9
25,window,high,2,351.4
25,window,high,3,254.3
25,window,high,4,781
25,window,high,5,233.8
25,window,high,6,244.3
25,window,high,7,341.1
25,window,high,8,259.7
25,window,high,9,365.2
25,window,high,10,262.2
25,window,high,11,273.4
25,window,high,12,290.5
26,window,low,13,276.7
26,window,low,14,172.1
26,window,low,15,200.1
26,window,low,16,428.9
26,window,low,17,280
26,window,low,18,225.1
26,window,low,19,232.1
26,window,low,20,270.4
26,window,low,21,238
26,window,low,22,254.1
26,window,low,23,190.1
26,window,low,24,272.7
26,window,high,1,186.2
26,window,high,2,279.6
26,window,high,3,319.9
26,window,high,4,260.6
26,window,high,5,260
26,window,high,6,203.7
26,window,high,7,270.5
26,window,high,8,207.7
26,window,high,9,255.1
26,window,high,10,263.7
26,window,high,11,227
26,window,high,12,567.8
27,window,low,13,698.5
27,window,low,14,722.2
27,window,low,15,669.4
27,window,low,16,193.9
27,window,low,17,284.6
27,window,low,18,222.3
27,window,low,19,268.7
27,window,low,20,279.7
27,window,low,21,602.1
27,window,low,22,355.3
27,window,low,23,262.3
27,window,low,24,455.9
27,window,high,1,189.4
27,window,high,2,1209.6
27,window,high,3,743
27,window,high,4,319.6
27,window,high,5,874.1
27,window,high,6,529.4
27,window,high,7,372.9
27,window,high,8,1071.7
27,window,high,9,1061.9
27,window,high,10,884.4
27,window,high,11,371.6
27,window,high,12,436.7
28,window,low,13,1085.4
28,window,low,14,334.9
28,window,low,15,429.5
28,window,low,16,371.3
28,window,low,17,582.1
28,window,low,18,690.9
28,window,low,19,379.9
28,window,low,20,494.9
28,window,low,21,403.8
28,window,low,22,609.8
28,window,low,23,1085.4
28,window,low,24,492.7
28,window,high,1,549.7
28,window,high,2,859.7
28,window,high,3,532.7
28,window,high,4,589.7
28,window,high,5,504.1
28,window,high,6,610.8
28,window,high,7,1042.3
28,window,high,8,549.3
28,window,high,9,399.5
28,window,high,10,407.2
28,window,high,11,389.5
28,window,high,12,448.9
29,window,low,13,641.6
29,window,low,14,754.8
29,window,low,15,690.9
29,window,low,16,769
29,window,low,17,408.6
29,window,low,18,1499
29,window,low,19,2465.9
29,window,low,20,455.9
